[0.000000] (-) TimerEvent: {}
[0.000158] (sam_bot_nav2_gz) JobQueued: {'identifier': 'sam_bot_nav2_gz', 'dependencies': OrderedDict()}
[0.159536] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/models/turtlebot3_world/meshes/hexagon.dae\n'}
[0.159588] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/maps\n'}
[0.159639] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/maps/turtlebot3_world.yaml\n'}
[0.159706] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/maps/turtlebot3_world.pgm\n'}
[0.159787] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/lib/sam_bot_nav2_gz/reach_goal.py\n'}
[0.159854] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/lib/sam_bot_nav2_gz/follow_waypoints.py\n'}
[0.159908] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/ament_index/resource_index/package_run_dependencies/sam_bot_nav2_gz\n'}
[0.159958] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/ament_index/resource_index/parent_prefix_path/sam_bot_nav2_gz\n'}
[0.160008] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/environment/ament_prefix_path.sh\n'}
[0.160063] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/environment/ament_prefix_path.dsv\n'}
[0.160113] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/environment/path.sh\n'}
[0.160163] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/environment/path.dsv\n'}
[0.160213] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/local_setup.bash\n'}
[0.160268] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/local_setup.sh\n'}
[0.160318] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/local_setup.zsh\n'}
[0.160367] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/local_setup.dsv\n'}
[0.160434] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/package.dsv\n'}
[0.160487] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/ament_index/resource_index/packages/sam_bot_nav2_gz\n'}
[0.160536] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/cmake/sam_bot_nav2_gzConfig.cmake\n'}
[0.160587] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/cmake/sam_bot_nav2_gzConfig-version.cmake\n'}
[0.160636] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/package.xml\n'}
[0.161539] (sam_bot_nav2_gz) CommandEnded: {'returncode': 0}
[0.199659] (-) TimerEvent: {}
[0.296142] (sam_bot_nav2_gz) JobEnded: {'identifier': 'sam_bot_nav2_gz', 'rc': 0}
[0.296817] (-) EventReactorShutdown: {}
